,Equity,DrawdownPct,DrawdownDuration
2010-08-16,45464.01568000005,0.05444167165526981,
2010-08-17,45922.505680000046,0.0449060195251505,
2010-08-18,45144.09568000005,0.06109535184342618,
2010-08-19,43825.35568000005,0.08852244052600089,
2010-08-20,44204.62084000006,0.08063450266294125,
2010-08-23,44013.97084000006,0.08459963184483676,
2010-08-24,45193.21084000006,0.060073857197795455,
2010-08-25,44892.82084000006,0.06632135342097711,
2010-08-26,45231.340840000055,0.059280831361416375,
2010-08-27,44501.29084000006,0.07446437481404056,
2010-08-30,45072.31084000006,0.06258832936192427,
2010-08-31,45320.62084000006,0.05742399037867496,
2010-09-01,44361.79084000006,0.07736568884957384,
2010-09-02,44096.74084000006,0.08287818551708714,
2010-09-03,43434.58084000006,0.09664975613908511,
2010-09-07,43983.28084000006,0.08523792093265414,
2010-09-08,43408.54084000006,0.09719133475905128,
2010-09-09,42887.74084000006,0.1080229071583757,
2010-09-10,42891.46084000006,0.10794553878409474,
2010-09-13,42321.37084000006,0.11980224214264079,
2010-09-14,42492.49084000006,0.11624329692572,
2010-09-15,42424.108940000064,0.11766550026798817,
2010-09-16,42461.06894000006,0.11689680803319746,
2010-09-17,43260.98894000006,0.10026011180879757,
2010-09-20,44856.42894000006,0.06707823034032989,
2010-09-21,45312.26894000007,0.05759769277791049,
2010-09-22,45535.788940000064,0.052948934977033124,
2010-09-23,45314.02894000006,0.05756108838577767,
2010-09-24,46529.30894000006,0.032285755618014944,
2010-09-27,46803.86894000006,0.026575470445283633,
2010-09-28,46518.74894000006,0.03250538197081232,
2010-09-29,46564.50894000007,0.03155366777535684,
2010-09-30,46397.30894000006,0.03503108502798191,
2010-10-01,46382.34894000006,0.03534222236111151,
2010-10-04,46094.58894000007,0.04132704047483948,
2010-10-05,47492.02894000006,0.012263153121322423,
2010-10-06,47150.58894000007,0.019364405195103518,
2010-10-07,46768.66894000006,0.027307558287941514,
2010-10-08,47326.58894000007,0.015703965981814227,
2010-10-11,47545.70894000007,0.01114671916126897,
2010-10-12,47770.108940000064,0.006479659164325247,
2010-10-13,47938.18894000006,0.002983939715634043,
2010-10-14,47729.62894000006,0.0073215601833818145,
2010-10-15,53055.38894000007,0.0,147 days
2010-10-18,54486.26894000007,0.0,
2010-10-19,53616.828940000065,0.015957047838188854,
2010-10-20,53630.02894000006,0.01571478496615164,
2010-10-21,53982.90894000007,0.009238290853688214,
2010-10-22,54030.42894000006,0.008366144514354135,
2010-10-25,54379.788940000064,0.00195425383443415,
2010-10-26,54564.58894000007,0.0,8 days
2010-10-27,54377.148940000065,0.0034351949431180584,
